"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"maker-NW_015503979.1-augustus-gene-14.0",4747.60901226238,12.2129854118709,0.0961765001288615,126.985130416551,0,0
"maker-NW_015503979.1-augustus-gene-15.0",1580.70059206106,10.6263484105776,0.0815678507296131,130.276184986197,0,0
"maker-NW_015503979.1-augustus-gene-15.10",5147.50086713164,12.3296564525515,0.0995418380878031,123.86406248271,0,0
"maker-NW_015503979.1-augustus-gene-15.19",397.862481823271,8.63612605000388,0.109280715572986,79.0269903040308,0,0
"maker-NW_015503979.1-augustus-gene-15.25",237.700597610556,7.89300172018466,0.104775259888984,75.3326856793084,0,0
"maker-NW_015503979.1-augustus-gene-15.27",11884.4357812695,13.5367857918844,0.0550722048952006,245.800686891766,0,0
"maker-NW_015503979.1-augustus-gene-15.40",3291.38945451996,11.6844810284935,0.0651517836291264,179.342458143692,0,0
"maker-NW_015503979.1-augustus-gene-15.46",1652.59593411004,10.6905183080728,0.0637726884922226,167.63474397628,0,0
"maker-NW_015503979.1-augustus-gene-15.5",1810.0890545035,10.8218449628159,0.107058743290621,101.083242995286,0,0
"maker-NW_015503979.1-augustus-gene-15.51",141.863556961227,7.14836021579173,0.177219593291053,40.3361732359456,0,0
"maker-NW_015503979.1-augustus-gene-15.53",564.401771676662,9.14057870638659,0.0893982694805536,102.245588863159,0,0
"maker-NW_015503979.1-augustus-gene-16.4",35661.0374042998,15.1220610521217,0.0692796478249381,218.275662866149,0,0
"maker-NW_015503979.1-augustus-gene-17.0",4579.68556027084,12.1610328314099,0.0912303529451598,133.300293584527,0,0
"maker-NW_015503979.1-augustus-gene-19.0",1033.17497253307,10.0128688860377,0.0927524879324215,107.952563960688,0,0
"maker-NW_015503979.1-augustus-gene-19.4",1163.49636247284,10.1842509850052,0.162839250897134,62.5417454876317,0,0
"maker-NW_015503979.1-augustus-gene-19.8",6101.03168640887,12.5748375081595,0.0647694389282825,194.147698609575,0,0
"maker-NW_015503979.1-augustus-gene-2.11",742.911547014759,9.53704663973148,0.0727875577106376,131.025781599177,0,0
"maker-NW_015503979.1-augustus-gene-2.15",4551.54959118554,12.1521420842413,0.0358141827642998,339.31088597545,0,0
"maker-NW_015503979.1-augustus-gene-2.23",54.4513033374175,5.76689467635342,0.122704688973155,46.9981605806042,0,0
"maker-NW_015503979.1-augustus-gene-2.25",420.285950592463,8.71522742035608,0.0917714385120024,94.9666645926691,0,0
"maker-NW_015503979.1-augustus-gene-2.4",116.936622021871,6.86958301130537,0.127280058127683,53.9721863138532,0,0
"maker-NW_015503979.1-augustus-gene-2.6",191.466007856473,7.58094447409283,0.164198675709285,46.1693399252194,0,0
"maker-NW_015503979.1-augustus-gene-21.0",3132.89789571974,11.6132820362609,0.106318179285713,109.231385585075,0,0
"maker-NW_015503979.1-augustus-gene-21.3",356.876967219769,8.47928298286774,0.116061067944147,73.0588054467009,0,0
"maker-NW_015503979.1-augustus-gene-21.6",320.131856945886,8.32252243920115,0.103238939057133,80.6141802231759,0,0
"maker-NW_015503979.1-augustus-gene-22.1",1246.22098180481,10.2833441965925,0.110789483155976,92.8187757868227,0,0
"maker-NW_015503979.1-augustus-gene-24.5",7223.40281662735,12.8184629098863,0.0506465000959316,253.096717159257,0,0
"maker-NW_015503979.1-augustus-gene-25.0",6850.79816942118,12.7420563673313,0.043524600627534,292.755273652542,0,0
"maker-NW_015503979.1-augustus-gene-26.0",301.379421541853,8.2354371015576,0.199111311620972,41.3609705772746,0,0
"maker-NW_015503979.1-augustus-gene-27.1",2071.49102613403,11.0164538551216,0.0427085821793677,257.944733656919,0,0
"maker-NW_015503979.1-augustus-gene-27.4",242.671041218871,7.92285814670784,0.076806973447014,103.1528491638,0,0
"maker-NW_015503979.1-augustus-gene-28.10",3624.56955030196,11.8235939571639,0.0478263236794474,247.219377270365,0,0
"maker-NW_015503979.1-augustus-gene-28.16",6441.45843778729,12.6531716566585,0.0795620735111052,159.035217387747,0,0
"maker-NW_015503979.1-augustus-gene-28.3",645.008974624485,9.3331754240411,0.0779154796981558,119.785894410171,0,0
"maker-NW_015503979.1-augustus-gene-28.5",548.219641135168,9.09861020648401,0.0603124831688662,150.857827906194,0,0
"maker-NW_015503979.1-augustus-gene-32.0",181.028587561681,7.50007373170637,0.154150900189852,48.6541027166839,0,0
"maker-NW_015503979.1-augustus-gene-32.2",256.992072474112,8.00558004655308,0.100850798845853,79.3804326606214,0,0
"maker-NW_015503979.1-augustus-gene-32.4",295.769312582286,8.20832856377352,0.10169076074288,80.7185284465304,0,0
"maker-NW_015503979.1-augustus-gene-33.4",6206.76212601005,12.5996251403924,0.0610180074792858,206.490274935144,0,0
"maker-NW_015503979.1-augustus-gene-33.6",116.449952712084,6.86356624347502,0.109616341001374,62.6144439850349,0,0
"maker-NW_015503979.1-augustus-gene-34.10",3549.30150312634,11.7933194171307,0.0460317762011185,256.199529768399,0,0
"maker-NW_015503979.1-augustus-gene-34.18",2576.94798414536,11.3314477012648,0.0654263383185146,173.193976500717,0,0
"maker-NW_015503979.1-augustus-gene-34.26",643.691935968004,9.33022658496716,0.0708652825872111,131.661460228918,0,0
"maker-NW_015503979.1-augustus-gene-34.3",622.722668029146,9.28244598618601,0.0961911415890222,96.5000085542738,0,0
"maker-NW_015503979.1-augustus-gene-34.5",295.469195516741,8.20686391817482,0.125527914444918,65.3787960587522,0,0
"maker-NW_015503979.1-augustus-gene-34.7",479.316344211464,8.90483432503892,0.134589473415486,66.1629330961802,0,0
"maker-NW_015503979.1-augustus-gene-35.1",8549.95524003769,13.0617011520121,0.0426587717722003,306.190277154771,0,0
"maker-NW_015503979.1-augustus-gene-35.22",866.460589304363,9.75899032010857,0.0836756766452413,116.628758934136,0,0
"maker-NW_015503979.1-augustus-gene-35.31",183.239042761347,7.51758312114066,0.114849336394518,65.4560431704809,0,0
"maker-NW_015503979.1-augustus-gene-35.35",87.5691958055567,6.45235155747459,0.14216615583232,45.3859888079473,0,0
"maker-NW_015503979.1-augustus-gene-35.37",377.298605775758,8.55956295876951,0.0905448324092925,94.5339753910799,0,0
"maker-NW_015503979.1-augustus-gene-35.41",1397.13341608644,10.4482540788782,0.053459977041289,195.440676504755,0,0
"maker-NW_015503979.1-augustus-gene-36.2",3011.95268955374,11.556483393622,0.105410940549115,109.632675065995,0,0
"maker-NW_015503979.1-augustus-gene-37.0",87.5623546057373,6.45223884488757,0.131314158567371,49.1358960471673,0,0
"maker-NW_015503979.1-augustus-gene-37.4",95.7990251725868,6.58193907041218,0.167682878299892,39.2523025436189,0,0
"maker-NW_015503979.1-augustus-gene-37.6",201.683376018176,7.6559483628454,0.171560549689903,44.6253429281007,0,0
"maker-NW_015503979.1-augustus-gene-37.8",523.692125039674,9.03257510036373,0.0730601783332774,123.631988128471,0,0
"maker-NW_015503979.1-augustus-gene-38.2",127.907107616023,6.99895262473297,0.15861667425754,44.1249487640185,0,0
"maker-NW_015503979.1-augustus-gene-38.5",131.79561874191,7.04215860166561,0.159894309359033,44.0425843164491,0,0
"maker-NW_015503979.1-augustus-gene-39.14",1555.03842454844,10.6027345140344,0.0478797855158318,221.444904144956,0,0
"maker-NW_015503979.1-augustus-gene-39.23",31041.5620542342,14.9219135373063,0.0688937570037116,216.593116506948,0,0
"maker-NW_015503979.1-augustus-gene-39.5",2716.33435712537,11.4074453583822,0.10263426554224,111.146558102346,0,0
"maker-NW_015503979.1-augustus-gene-39.9",832.638865655474,9.70154709149061,0.0532423536785596,182.214842530475,0,0
"maker-NW_015503979.1-augustus-gene-4.0",117.086121926437,6.87142627488422,0.104586190077401,65.7010860592481,0,0
"maker-NW_015503979.1-augustus-gene-4.3",3082.06687382199,11.5896824500465,0.0454400584153342,255.05430349833,0,0
"maker-NW_015503979.1-augustus-gene-41.15",1410.96118981395,10.4624625900792,0.0570064030386585,183.531358450807,0,0
"maker-NW_015503979.1-augustus-gene-41.2",2665.08288813712,11.3799646883575,0.0937478627398749,121.389057369061,0,0
"maker-NW_015503979.1-augustus-gene-41.22",26766.5540696106,14.7081437976958,0.14456284866441,101.742210627292,0,0
"maker-NW_015503979.1-augustus-gene-41.4",3501.09760804592,11.7735915682739,0.0431727961549105,272.708571527971,0,0
"maker-NW_015503979.1-augustus-gene-42.0",1718.56260621494,10.746986693853,0.0581293697173159,184.880495799555,0,0
