"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sel4_SRR1719013_htseq_counted","sel4_SRR1719014_htseq_counted","sel4_SRR1719015_htseq_counted","sel4_SRR1719016_htseq_counted","sel4_SRR1719017_htseq_counted","sel4_SRR1719018_htseq_counted","sel4_SRR1719204_htseq_counted","sel4_SRR1719206_htseq_counted","sel4_SRR1719207_htseq_counted","sel4_SRR1719208_htseq_counted","sel4_SRR1719209_htseq_counted","sel4_SRR1719211_htseq_counted","sel4_SRR1719212_htseq_counted","sel4_SRR1719213_htseq_counted","sel4_SRR1719214_htseq_counted","sel4_SRR1719241_htseq_counted","sel4_SRR1719242_htseq_counted","sel4_SRR1719266_htseq_counted"
"33","maker-NW_015503979.1-augustus-gene-19.0",1033.17497253307,10.0128688860377,0.0927524879324215,107.952563960688,0,0,652.587071168562,933.384104126403,1312.21528500903,1210.27883559084,1174.52174952219,1956.68717238886,652.97161470143,969.832396813743,1015.62107893448,803.486877328272,754.391300481792,766.450679776943,876.521728345672,962.486026915922,1083.12681098951,1046.92408301455,1224.73410985092,1200.92858063613
"34","maker-NW_015503979.1-augustus-gene-19.4",1163.49636247284,10.1842509850052,0.162839250897134,62.5417454876317,0,0,1353.13992319671,1505.74228118505,1725.47487582928,1945.7559741422,2256.31809776632,2009.16837356983,1170.48072262525,809.005918950157,1554.2703151305,672.283217197744,638.645342826643,412.623448153888,1419.71829239088,674.54903062847,650.337318734652,467.83943738787,1194.53518659432,483.046768201415
"35","maker-NW_015503979.1-augustus-gene-19.8",6101.03168640887,12.5748375081595,0.0647694389282825,194.147698609575,0,0,6720.25834990604,6605.23350101715,4434.41471048698,5836.33693870692,6125.60027455483,3799.01232429383,6403.7783477445,5686.32607422731,4728.60016507956,6551.50838436898,6270.70747061128,7188.8874033325,6377.93011136032,7016.44225503834,6664.80443667782,7398.56830136191,4632.17928397039,7377.98202262099
"36","maker-NW_015503979.1-augustus-gene-2.11",742.911547014759,9.53704663973148,0.0727875577106376,131.025781599177,0,0,590.736459007519,702.239455698874,584.135466575143,487.835469115078,604.432245368146,766.068876940075,827.591252344438,862.614744904686,744.240547721217,923.847259762061,750.306149035139,835.746220688283,601.837102209176,879.987224608843,737.202705279588,583.656366513206,749.93992753885,1139.99037295534
"37","maker-NW_015503979.1-augustus-gene-2.15",4551.54959118554,12.1521420842413,0.0358141827642998,339.31088597545,0,0,4688.0239503289,4559.0530180325,5022.26487001332,4346.7629872105,4692.36320788642,4209.46231561959,4816.32709644442,4609.81752879698,5020.53982744534,4255.98649596959,5279.37738622366,4140.93353567159,4306.99321093798,4915.1492315698,3549.9500448187,4340.08702827574,4779.81846433598,4394.98244175872
"38","maker-NW_015503979.1-augustus-gene-2.23",54.4513033374175,5.76689467635342,0.122704688973155,46.9981605806042,0,0,54.2770678147934,26.4165312488605,74.2938590238656,49.342137143319,54.9483859425587,68.9305328944035,41.2737325338019,28.6996745009092,64.7612631304374,50.9634051746677,47.6601002109435,39.897432645923,54.7826080216045,40.4405893662152,40.7421724502796,100.577859503581,79.6916030382447,62.4245054291059
"39","maker-NW_015503979.1-augustus-gene-2.25",420.285950592463,8.71522742035608,0.0917714385120024,94.9666645926691,0,0,263.811794727717,410.556923159373,628.711781989463,310.017578655193,351.440718424282,595.309147724394,377.813397809417,380.135311313929,571.543846040051,312.286397666049,322.726964285532,464.070137618368,381.163498065811,316.245408843803,483.525027758979,312.400927245972,572.101823916662,511.286425419344
"40","maker-NW_015503979.1-augustus-gene-2.4",116.936622021871,6.86958301130537,0.127280058127683,53.9721863138532,0,0,156.519916489172,141.988855462625,243.31238830316,165.715102103977,111.041529925587,131.594653707498,158.745125130007,111.549678248817,74.0128721490713,65.0596661804269,68.085857444205,58.796216530834,97.2198395876361,125.365827035267,109.158273357353,94.4822316548792,114.923680170942,77.2874829122264
"41","maker-NW_015503979.1-augustus-gene-2.6",191.466007856473,7.58094447409283,0.164198675709285,46.1693399252194,0,0,210.796984303965,297.18597654968,289.746050193076,323.051350730787,307.939912886423,336.036347860217,142.870612617007,111.549678248817,101.767699204973,83.4932382648811,111.660806208496,111.292838433364,227.617878399624,172.276910700077,212.166784835418,48.7650227896151,240.752527073434,117.417522116652
"42","maker-NW_015503979.1-augustus-gene-21.0",3132.89789571974,11.6132820362609,0.106318179285713,109.231385585075,0,0,2670.93663944425,2248.70722255925,4506.85122303525,1448.61066783027,1617.54311118407,3226.41892036418,2796.03080395653,4286.5400631924,4651.50342325761,2781.30072921325,4106.93892103445,3913.09819661461,2140.37964298494,2974.80975377879,2585.20615000548,4154.17037889033,3534.95173898067,2748.16453662897
